rb_date,next_rb,ret,nav,n_valid
2016-06-13,2016-09-12,0.094191,1.094191,50
2016-09-12,2016-12-12,0.057871,1.157512,50
2016-12-12,2017-03-13,0.053489,1.219427,27
2017-03-13,2017-06-12,0.105494,1.34807,47
2017-06-12,2017-09-11,0.050887,1.416669,50
2017-09-11,2017-12-11,0.108753,1.570736,50
2017-12-11,2018-03-12,0.034256,1.624543,50
2018-03-12,2018-06-11,-0.03386,1.569536,50
2018-06-11,2018-09-17,-0.024545,1.531012,11
2018-09-17,2018-12-17,0.0,1.531012,0
2018-12-17,2019-03-11,0.121753,1.717417,27
2019-03-11,2019-06-17,-0.110448,1.527732,28
2019-06-17,2019-09-16,0.041451,1.591057,50
2019-09-16,2019-12-16,-0.022905,1.554614,50
2019-12-16,2020-03-16,-0.091546,1.412296,50
2020-03-16,2020-06-15,-0.002784,1.408363,2
2020-06-15,2020-09-14,0.0,1.408363,0
2020-09-14,2020-12-14,0.017924,1.433607,26
2020-12-14,2021-03-15,0.077409,1.544581,50
2021-03-15,2021-06-14,0.013604,1.565594,50
2021-06-14,2021-09-13,0.130949,1.770607,50
2021-09-13,2021-12-13,-0.05773,1.668389,50
2021-12-13,2022-03-14,-0.005483,1.659242,14
2022-03-14,2022-06-13,0.0,1.659242,0
2022-06-13,2022-09-12,0.015129,1.684344,45
2022-09-12,2022-12-12,-0.02316,1.645336,50
2022-12-12,2023-03-13,0.063829,1.750356,50
2023-03-13,2023-06-12,0.023734,1.791899,50
2023-06-12,2023-09-11,0.038473,1.860839,50
2023-09-11,2023-12-11,-0.042439,1.781867,50
2023-12-11,2024-03-11,0.167889,2.081024,50
2024-03-11,2024-06-17,0.047301,2.179457,50
2024-06-17,2024-09-16,-0.059055,2.050749,50
2024-09-16,2024-12-16,0.195857,2.452403,50
2024-12-16,2025-03-17,-0.029599,2.379815,50
2025-03-17,2025-06-16,0.012565,2.409717,50
2025-06-16,2025-09-15,0.115779,2.688712,50
2025-09-15,2025-12-15,0.027151,2.761713,50
2025-12-15,2026-03-16,0.056867,2.918764,50
2026-03-16,2026-06-04,-0.041455,2.797766,50
