rb_date,next_rb,ret,nav,n_valid
2012-03-12,2012-06-11,0.0,1.0,50
2012-06-11,2012-09-10,-0.053134,0.946866,50
2012-09-10,2012-12-10,-0.034255,0.914431,50
2012-12-10,2013-03-11,0.083378,0.990674,50
2013-03-11,2013-06-17,-0.108979,0.882711,50
2013-06-17,2013-09-16,0.07993,0.953266,50
2013-09-16,2013-12-16,0.03101,0.982826,50
2013-12-16,2014-03-17,-0.097673,0.88683,50
2014-03-17,2014-06-16,0.068563,0.947634,50
2014-06-16,2014-09-15,0.165053,1.104044,50
2014-09-15,2014-12-15,0.260823,1.392004,50
2014-12-15,2015-03-16,0.085688,1.511282,50
2015-03-16,2015-06-15,0.44139,2.178346,50
2015-06-15,2015-09-14,-0.345486,1.425758,50
2015-09-14,2015-12-14,0.058263,1.508828,50
2015-12-14,2016-03-14,-0.143579,1.292192,50
2016-03-14,2016-06-13,0.024141,1.323387,50
2016-06-13,2016-09-12,0.094998,1.449106,50
2016-09-12,2016-12-12,0.059607,1.535482,50
2016-12-12,2017-03-13,0.059645,1.627066,50
2017-03-13,2017-06-12,0.147951,1.867792,50
2017-06-12,2017-09-11,0.067829,1.994483,50
2017-09-11,2017-12-11,0.107659,2.209206,50
2017-12-11,2018-03-12,0.047831,2.314873,50
2018-03-12,2018-06-11,-0.027556,2.251084,50
2018-06-11,2018-09-17,-0.073661,2.085268,50
2018-09-17,2018-12-17,-0.027637,2.027637,50
2018-12-17,2019-03-11,0.106533,2.243646,50
2019-03-11,2019-06-17,-0.032743,2.170182,50
2019-06-17,2019-09-16,0.049895,2.278463,50
2019-09-16,2019-12-16,-0.000622,2.277045,50
2019-12-16,2020-03-16,-0.106467,2.034615,50
2020-03-16,2020-06-15,0.02283,2.081066,50
2020-06-15,2020-09-14,0.186675,2.469548,50
2020-09-14,2020-12-14,0.047589,2.587072,50
2020-12-14,2021-03-15,0.082515,2.800544,50
2021-03-15,2021-06-14,0.061104,2.971668,50
2021-06-14,2021-09-13,0.120855,3.33081,50
2021-09-13,2021-12-13,-0.068022,3.104241,50
2021-12-13,2022-03-14,-0.050671,2.946946,50
2022-03-14,2022-06-13,0.055162,3.109504,50
2022-06-13,2022-09-12,0.030558,3.204526,50
2022-09-12,2022-12-12,-0.03328,3.097878,50
2022-12-12,2023-03-13,0.084881,3.360828,50
2023-03-13,2023-06-12,0.016756,3.417143,50
2023-06-12,2023-09-11,0.037138,3.54405,50
2023-09-11,2023-12-11,-0.049023,3.37031,50
2023-12-11,2024-03-11,0.195609,4.029572,50
2024-03-11,2024-06-17,0.042029,4.198931,50
2024-06-17,2024-09-16,-0.067577,3.915181,50
2024-09-16,2024-12-16,0.182316,4.62898,50
2024-12-16,2025-03-17,-0.032552,4.478298,50
2025-03-17,2025-06-16,0.01846,4.560967,50
2025-06-16,2025-09-15,0.102091,5.026601,50
2025-09-15,2025-12-15,0.03008,5.177799,50
2025-12-15,2026-03-16,0.116594,5.7815,50
2026-03-16,2026-06-15,-0.096025,5.226334,50
2026-06-15,2026-06-15,-0.096025,4.724478,50
