rb_date,next_rb,ret,nav,n_valid
2012-03-12,2012-06-11,0.0,1.0,50
2012-06-11,2012-09-10,-0.053134,0.946866,50
2012-09-10,2012-12-10,-0.035512,0.913241,50
2012-12-10,2013-03-11,0.08427,0.9902,50
2013-03-11,2013-06-17,-0.108727,0.882538,50
2013-06-17,2013-09-16,0.07993,0.953079,50
2013-09-16,2013-12-16,0.03298,0.984512,50
2013-12-16,2014-03-17,-0.098931,0.887114,50
2014-03-17,2014-06-16,0.068629,0.947995,50
2014-06-16,2014-09-15,0.167708,1.106982,50
2014-09-15,2014-12-15,0.262827,1.397926,50
2014-12-15,2015-03-16,0.082806,1.513684,50
2015-03-16,2015-06-15,0.44144,2.181885,50
2015-06-15,2015-09-14,-0.345834,1.427314,50
2015-09-14,2015-12-14,0.050348,1.499177,50
2015-12-14,2016-03-14,-0.140385,1.288715,50
2016-03-14,2016-06-13,0.026453,1.322806,50
2016-06-13,2016-09-12,0.095188,1.448721,50
2016-09-12,2016-12-12,0.060237,1.535987,50
2016-12-12,2017-03-13,0.059373,1.627184,50
2017-03-13,2017-06-12,0.149645,1.870684,50
2017-06-12,2017-09-11,0.069308,2.000337,50
2017-09-11,2017-12-11,0.108987,2.218347,50
2017-12-11,2018-03-12,0.04735,2.323385,50
2018-03-12,2018-06-11,-0.027174,2.260249,50
2018-06-11,2018-09-17,-0.074335,2.092233,50
2018-09-17,2018-12-17,-0.028899,2.03177,50
2018-12-17,2019-03-11,0.104747,2.244593,50
2019-03-11,2019-06-17,-0.029225,2.178995,50
2019-06-17,2019-09-16,0.048992,2.285749,50
2019-09-16,2019-12-16,-0.011302,2.259915,50
2019-12-16,2020-03-16,-0.104077,2.02471,50
2020-03-16,2020-06-15,0.024788,2.074897,50
2020-06-15,2020-09-14,0.182315,2.453183,50
2020-09-14,2020-12-14,0.04636,2.566913,50
2020-12-14,2021-03-15,0.083008,2.779988,50
2021-03-15,2021-06-14,0.06222,2.952959,50
2021-06-14,2021-09-13,0.117952,3.301267,50
2021-09-13,2021-12-13,-0.073999,3.056975,50
2021-12-13,2022-03-14,-0.049474,2.905735,50
2022-03-14,2022-06-13,0.060313,3.080989,50
2022-06-13,2022-09-12,0.030186,3.173992,50
2022-09-12,2022-12-12,-0.033146,3.068787,50
2022-12-12,2023-03-13,0.08702,3.335833,50
2023-03-13,2023-06-12,0.015698,3.388199,50
2023-06-12,2023-09-11,0.037827,3.516365,50
2023-09-11,2023-12-11,-0.050916,3.337325,50
2023-12-11,2024-03-11,0.198621,4.000188,50
2024-03-11,2024-06-17,0.034969,4.140072,50
2024-06-17,2024-09-16,-0.070831,3.846828,50
2024-09-16,2024-12-16,0.170598,4.503091,50
2024-12-16,2025-03-17,-0.030244,4.366898,50
2025-03-17,2025-06-16,0.014061,4.428302,50
2025-06-16,2025-09-15,0.110964,4.919684,50
2025-09-15,2025-12-15,0.036603,5.099757,50
2025-12-15,2026-03-16,0.110699,5.664295,50
2026-03-16,2026-06-15,-0.099782,5.099098,50
2026-06-15,2026-06-15,-0.099782,4.590298,50
